Watching for file changes with StatReloader
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=cleaning&trade_category=homes&search= 200 [0.05, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=plumber&trade_category=leaks&listing_type=sale&search= 200 [0.07, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=plumber&trade_category=leaks&search= 200 [0.09, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=plumber&trade_category=leaks&listing_type=sale&search= 200 [0.06, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=plumber&trade_category=leaks&search= 200 [0.07, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=mechanic&trade_category=engine&search= 200 [0.08, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=mechanic&trade_category=engine&listing_type=sale&search= 200 [0.09, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=motorcycle&trade_category=repair&listing_type=sale&search= 200 [0.04, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=motorcycle&trade_category=repair&search= 200 [0.07, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=mobile&trade_category=screen&listing_type=sale&search= 200 [0.08, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=mobile&trade_category=screen&search= 200 [0.08, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=workshop&trade_category=cnc&search= 200 [0.06, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=workshop&trade_category=cnc&listing_type=sale&search= 200 [0.07, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=signs&trade_category=signboards&search= 200 [0.05, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=signs&trade_category=signboards&listing_type=sale&search= 200 [0.05, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=tailor&trade_category=men&search= 200 [0.09, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=tailor&trade_category=men&listing_type=sale&search= 200 [0.10, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=computer&trade_category=laptop&search= 200 [0.05, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=computer&trade_category=laptop&listing_type=sale&search= 200 [0.06, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=tailor&trade_category=men&search= 200 [0.07, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=tailor&trade_category=men&listing_type=sale&search= 200 [0.08, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=tailor&trade_category=men 200 [0.02, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/locations/ 200 [0.06, 127.0.0.1:63036]
HTTP GET /api/v1/sellers/locations/ 200 [0.05, 127.0.0.1:63058]
D:\work-shop\backend\users\serializers.py changed, reloading.
Watching for file changes with StatReloader
